2018-5-4-2-27-47,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-28-47,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-29-48,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-30-49,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-31-50,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-32-52,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-33-52,22868817,22886289,22904017,22897667,22857725,22871355,22885104,22800911
2018-5-4-2-34-53,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-35-54,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-36-55,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-37-56,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-38-56,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-39-57,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-40-59,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-42-0,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-43-1,22868817,22887633,22886289,22904017,22889380,22853028,22885104,22800911
2018-5-4-2-44-1,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-45-1,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-46-3,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-47-3,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-48-4,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-49-6,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-50-7,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-51-8,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-52-9,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-53-10,22868817,22904017,22728382,22897667,22853028,22813470,22833279,22831147
2018-5-4-2-54-11,22868817,22887633,22886289,22904017,22728382,22881942,22867579,22834053
2018-5-4-2-55-12,22868817,22904017,22728382,22897667,22853028,22813470,22833279,22831147
