# bin,count
742,138
743,119
744,124
745,129
746,128
747,130
748,109
749,114
750,117
751,121
752,110
753,123
754,124
755,132
756,118
757,107
758,134
759,130
760,118
761,99
762,129
763,117
764,129
765,124
766,108
767,126
768,124
769,103
770,132
771,121
772,100
773,114
774,99
775,114
776,119
777,105
778,112
779,105
780,115
781,121
782,115
783,104
784,110
785,110
786,119
787,103
788,99
789,110
790,123
791,104
792,104
793,99
794,113
795,103
796,114
797,112
798,122
799,94
800,122
801,105
802,118
803,111
804,114
805,91
806,95
807,96
808,99
809,80
810,133
811,108
812,97
813,101
814,104
815,110
816,107
817,104
818,120
819,111
820,107
821,84
822,106
823,105
824,92
825,129
826,88
827,117
828,106
829,90
830,105
831,103
832,95
833,94
834,94
835,120
836,101
837,107
838,119
839,91
840,126
841,110
842,93
843,101
844,94
845,91
846,108
847,82
848,98
849,92
850,98
851,100
852,118
853,98
854,82
855,95
856,84
857,96
858,85
859,108
860,99
861,61
862,115
863,81
864,91
865,101
866,89
867,111
868,86
869,76
870,106
871,92
872,95
873,108
874,89
875,87
876,89
877,102
878,83
879,92
880,87
881,88
882,95
883,74
884,97
885,107
886,92
887,87
888,93
889,85
890,93
891,76
892,99
893,92
894,96
895,86
896,84
897,85
898,89
899,77
900,99
901,89
902,99
903,81
904,62
905,104
906,92
907,76
908,88
909,89
910,105
911,78
912,97
913,81
914,88
915,70
916,84
917,89
918,99
919,86
920,93
921,85
922,74
923,69
924,92
925,76
926,95
927,90
928,72
929,87
930,78
931,75
932,85
933,87
934,64
935,92
936,90
937,84
938,78
939,82
940,77
941,88
942,103
943,80
944,78
945,95
946,92
947,72
948,86
949,59
950,88
951,85
952,78
953,91
954,74
955,95
956,82
957,86
958,82
959,80
960,71
961,78
962,87
963,80
964,78
965,64
966,78
967,71
968,72
969,67
970,90
971,79
972,61
973,75
974,77
975,68
976,74
977,83
978,67
979,89
980,74
981,70
982,55
983,91
984,76
985,81
986,63
987,76
988,76
989,64
990,72
991,73
992,84
993,74
994,78
995,73
996,76
997,65
998,62
999,48
1000,87
1001,51
1002,91
1003,68
1004,90
1005,57
1006,75
1007,79
1008,73
1009,54
1010,85
1011,74
1012,79
1013,58
1014,68
1015,77
1016,68
1017,67
1018,59
1019,76
1020,78
1021,46
1022,84
1023,59
1024,72
1025,62
1026,76
1027,64
1028,68
1029,65
1030,59
1031,58
1032,85
1033,61
1034,63
1035,83
1036,67
1037,74
1038,58
1039,55
1040,74
1041,60
1042,69
1043,63
1044,60
1045,59
1046,68
1047,68
1048,59
1049,56
1050,57
1051,64
1052,82
1053,61
1054,67
1055,74
1056,76
1057,67
1058,70
1059,62
1060,81
1061,63
1062,59
1063,61
1064,66
1065,58
1066,70
1067,66
1068,68
1069,72
1070,48
1071,70
1072,66
1073,63
1074,63
1075,74
1076,51
1077,62
1078,70
1079,62
1080,70
1081,60
1082,59
1083,58
1084,64
1085,61
1086,57
1087,63
1088,82
1089,62
1090,74
1091,67
1092,69
1093,68
1094,56
1095,61
1096,65
1097,59
1098,75
1099,61
1100,58
1101,54
1102,73
1103,74
1104,73
1105,71
1106,65
1107,76
1108,72
1109,71
1110,68
1111,64
1112,59
1113,61
1114,83
1115,62
1116,73
1117,47
1118,48
1119,61
1120,61
1121,59
1122,51
1123,43
1124,60
1125,61
1126,68
1127,52
1128,61
1129,58
1130,64
1131,67
